asset,timeframe,indicators,strategy,return_pct,num_trades,win_rate,wins,losses
VET/USD,5m,RSI Only,grid,14.12938841409018,16,81.25,13,3
VET/USD,5m,RSI Only,mean_reversion,15.02963934182883,15,86.66666666666667,13,2
VET/USD,5m,RSI Only,momentum,14.179058089662815,17,82.35294117647058,14,3
VET/USD,5m,RSI + BB,grid,13.16090604198323,8,100.0,8,0
VET/USD,5m,RSI + BB,mean_reversion,8.358656629984534,6,100.0,6,0
VET/USD,5m,RSI + BB,momentum,22.855895846380395,24,83.33333333333334,20,4
VET/USD,5m,RSI + EMA,grid,14.539954703900342,14,85.71428571428571,12,2
VET/USD,5m,RSI + EMA,mean_reversion,15.902785431502412,14,92.85714285714286,13,1
VET/USD,5m,RSI + EMA,momentum,-3.658248408835061,171,22.807017543859647,39,132
VET/USD,5m,RSI + MACD,grid,14.609170503339577,15,86.66666666666667,13,2
VET/USD,5m,RSI + MACD,mean_reversion,15.02963934182883,14,92.85714285714286,13,1
VET/USD,5m,RSI + MACD,momentum,-4.926693608867049,168,23.809523809523807,40,128
VET/USD,5m,Full Suite,grid,13.16090604198323,8,100.0,8,0
VET/USD,5m,Full Suite,mean_reversion,8.358656629984534,6,100.0,6,0
VET/USD,5m,Full Suite,momentum,-3.6090704471306823,232,24.568965517241377,57,175
VET/USD,15m,RSI Only,grid,7.495585987653454,9,77.77777777777779,7,2
VET/USD,15m,RSI Only,mean_reversion,14.00532583528054,7,100.0,7,0
VET/USD,15m,RSI Only,momentum,9.522137227777716,15,73.33333333333333,11,4
VET/USD,15m,RSI + BB,grid,0.21366238770937118,5,60.0,3,2
VET/USD,15m,RSI + BB,mean_reversion,9.438965225077936,4,100.0,4,0
VET/USD,15m,RSI + BB,momentum,23.557324710256445,24,83.33333333333334,20,4
VET/USD,15m,RSI + EMA,grid,7.495585987653454,9,77.77777777777779,7,2
VET/USD,15m,RSI + EMA,mean_reversion,14.00532583528054,7,100.0,7,0
VET/USD,15m,RSI + EMA,momentum,-12.349868983723956,177,38.4180790960452,68,109
VET/USD,15m,RSI + MACD,grid,7.495585987653454,9,77.77777777777779,7,2
VET/USD,15m,RSI + MACD,mean_reversion,14.00532583528054,7,100.0,7,0
VET/USD,15m,RSI + MACD,momentum,-15.257342648327633,178,40.44943820224719,72,106
VET/USD,15m,Full Suite,grid,0.21366238770937118,5,60.0,3,2
VET/USD,15m,Full Suite,mean_reversion,9.438965225077936,4,100.0,4,0
VET/USD,15m,Full Suite,momentum,0.886674588714743,255,41.17647058823529,105,150
VET/USD,30m,RSI Only,grid,11.412959753907307,8,75.0,6,2
VET/USD,30m,RSI Only,mean_reversion,1.8790664306985376,3,66.66666666666666,2,1
VET/USD,30m,RSI Only,momentum,12.25448540206221,8,75.0,6,2
VET/USD,30m,RSI + BB,grid,3.837220384645184,3,66.66666666666666,2,1
VET/USD,30m,RSI + BB,mean_reversion,1.454545454545462,1,100.0,1,0
VET/USD,30m,RSI + BB,momentum,11.892753598742683,12,75.0,9,3
VET/USD,30m,RSI + EMA,grid,11.412959753907307,8,75.0,6,2
VET/USD,30m,RSI + EMA,mean_reversion,1.8790664306985376,3,66.66666666666666,2,1
VET/USD,30m,RSI + EMA,momentum,2.596531291433962,79,40.50632911392405,32,47
VET/USD,30m,RSI + MACD,grid,11.412959753907307,8,75.0,6,2
VET/USD,30m,RSI + MACD,mean_reversion,1.8790664306985376,3,66.66666666666666,2,1
VET/USD,30m,RSI + MACD,momentum,8.253038254186231,86,50.0,43,43
VET/USD,30m,Full Suite,grid,3.837220384645184,3,66.66666666666666,2,1
VET/USD,30m,Full Suite,mean_reversion,1.454545454545462,1,100.0,1,0
VET/USD,30m,Full Suite,momentum,16.633365297650062,131,48.091603053435115,63,68
PEPE/USD,5m,RSI Only,grid,2.7175579325906254,9,66.66666666666666,6,3
PEPE/USD,5m,RSI Only,mean_reversion,1.7725425204581369,7,71.42857142857143,5,2
PEPE/USD,5m,RSI Only,momentum,-1.0699464956197744,10,60.0,6,4
PEPE/USD,5m,RSI + BB,grid,6.245873858459981,8,75.0,6,2
PEPE/USD,5m,RSI + BB,mean_reversion,7.263648575608409,6,66.66666666666666,4,2
PEPE/USD,5m,RSI + BB,momentum,0.2773677508242485,12,58.333333333333336,7,5
PEPE/USD,5m,RSI + EMA,grid,2.936823655599437,9,66.66666666666666,6,3
PEPE/USD,5m,RSI + EMA,mean_reversion,1.7725425204581369,7,71.42857142857143,5,2
PEPE/USD,5m,RSI + EMA,momentum,-3.922086883094357,174,45.97701149425287,80,94
PEPE/USD,5m,RSI + MACD,grid,2.7175579325906254,9,66.66666666666666,6,3
PEPE/USD,5m,RSI + MACD,mean_reversion,1.7725425204581369,7,71.42857142857143,5,2
PEPE/USD,5m,RSI + MACD,momentum,-8.58311575208212,152,40.78947368421053,62,90
PEPE/USD,5m,Full Suite,grid,6.245873858459981,8,75.0,6,2
PEPE/USD,5m,Full Suite,mean_reversion,7.263648575608409,6,66.66666666666666,4,2
PEPE/USD,5m,Full Suite,momentum,-8.164594696706013,243,41.9753086419753,102,141
PEPE/USD,15m,RSI Only,grid,-2.0320909650321366,17,58.82352941176471,10,7
PEPE/USD,15m,RSI Only,mean_reversion,3.9460181933890457,10,60.0,6,4
PEPE/USD,15m,RSI Only,momentum,-7.540772008784585,16,62.5,10,6
PEPE/USD,15m,RSI + BB,grid,6.129044059443072,8,62.5,5,3
PEPE/USD,15m,RSI + BB,mean_reversion,9.879566143146395,5,80.0,4,1
PEPE/USD,15m,RSI + BB,momentum,3.9502155172965554,20,75.0,15,5
PEPE/USD,15m,RSI + EMA,grid,-1.7419304926827295,17,58.82352941176471,10,7
PEPE/USD,15m,RSI + EMA,mean_reversion,-0.9009532733280365,9,55.55555555555556,5,4
PEPE/USD,15m,RSI + EMA,momentum,-10.677482175000193,165,43.63636363636363,72,93
PEPE/USD,15m,RSI + MACD,grid,-2.0320909650321366,17,58.82352941176471,10,7
PEPE/USD,15m,RSI + MACD,mean_reversion,3.9460181933890457,10,60.0,6,4
PEPE/USD,15m,RSI + MACD,momentum,-7.999378865168046,156,45.51282051282051,71,85
PEPE/USD,15m,Full Suite,grid,6.129044059443072,8,62.5,5,3
PEPE/USD,15m,Full Suite,mean_reversion,9.879566143146395,5,80.0,4,1
PEPE/USD,15m,Full Suite,momentum,-12.417907021076667,233,50.21459227467812,117,116
PEPE/USD,30m,RSI Only,grid,-2.6840952298317573,16,56.25,9,7
PEPE/USD,30m,RSI Only,mean_reversion,0.23298050268168707,12,50.0,6,6
PEPE/USD,30m,RSI Only,momentum,-8.88035829023819,17,47.05882352941176,8,9
PEPE/USD,30m,RSI + BB,grid,12.477521436623123,11,63.63636363636363,7,4
PEPE/USD,30m,RSI + BB,mean_reversion,1.9251207516533555,8,50.0,4,4
PEPE/USD,30m,RSI + BB,momentum,-1.346763814560984,21,52.38095238095239,11,10
PEPE/USD,30m,RSI + EMA,grid,-2.2671998163803324,16,56.25,9,7
PEPE/USD,30m,RSI + EMA,mean_reversion,0.23298050268168707,12,50.0,6,6
PEPE/USD,30m,RSI + EMA,momentum,36.41033004889548,173,53.75722543352601,93,80
PEPE/USD,30m,RSI + MACD,grid,-2.6840952298317573,16,56.25,9,7
PEPE/USD,30m,RSI + MACD,mean_reversion,0.23298050268168707,12,50.0,6,6
PEPE/USD,30m,RSI + MACD,momentum,15.014290665145108,154,48.701298701298704,75,79
PEPE/USD,30m,Full Suite,grid,12.477521436623123,11,63.63636363636363,7,4
PEPE/USD,30m,Full Suite,mean_reversion,1.9251207516533555,8,50.0,4,4
PEPE/USD,30m,Full Suite,momentum,7.978188773081228,270,48.888888888888886,132,138
